;i=1;i=1;i=1;;i=2;i=2;i=2;;i=3;i=3;i=3;;i=4;i=4;i=4;;i=5;i=5;i=5;;i=6;i=6;i=6;;i=7;i=7;i=7
Palier -->;300;600;900;;300;600;900;;300;600;900;;300;600;900;;300;600;900;;300;600;900;;300;600;900
Scénario;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;282.0530;605.3011;847.6613;;286.7385;584.3700;907.9355;;296.4987;620.1889;899.5793;;317.2506;606.3833;894.0154;;316.2707;606.3833;913.1598;;297.1595;589.3278;952.5335;;308.2583;625.3033;858.3637
2;  288.2806;  566.2143;  927.2127;;  287.0952;  598.8117;  859.1232;;  316.4316;  620.0954;  951.2101;;  290.6263;  573.4737;  938.3563;;  296.9955;  573.4737;  888.0621;;  296.8646;  571.4058;  937.4468;;  294.3505;  576.4325;  881.2564
3;  279.2690;  611.7112;  875.1857;;  318.9781;  602.4827;  874.2503;;  299.3573;  585.1779;  902.0006;;  308.1614;  623.6904;  872.5145;;  303.2488;  623.6904;  883.6841;;  307.0452;  601.0678;  910.8040;;  291.0561;  595.6312;  944.4125
4;  281.2910;  609.6447;  869.3436;;  301.9761;  653.4282;  925.5163;;  297.6854;  582.9428;  940.0802;;  305.6759;  614.0936;  869.2720;;  296.2749;  614.0936;  932.5644;;  306.9026;  588.3976;  922.7638;;  298.9136;  605.4026;  884.2149
5;  300.2289;  641.0534;  910.7970;;  308.6252;  580.3656;  938.9108;;  310.0885;  575.7368;  898.8515;;  309.6828;  588.0295;  884.2529;;  296.9991;  588.0295;  861.6361;;  303.4846;  604.6560;  904.4556;;  306.4983;  596.2138;  877.0488
6;  301.0788;  555.1567;  888.8164;;  294.7159;  588.1670;  937.4556;;  303.4329;  594.5727;  876.4201;;  301.4893;  601.9418;  903.8703;;  312.7192;  601.9418;  940.5936;;  304.2432;  606.6674;  873.7423;;  301.3576;  614.8818;  874.4390
7;  279.8772;  634.9198;  857.1909;;  301.0298;  598.0696;  853.0423;;  314.7443;  610.8062;  935.4214;;  306.8922;  571.8355;  861.8480;;  309.7128;  571.8355;  921.5590;;  295.3100;  623.2563;  881.1917;;  311.7747;  612.0846;  876.5648
8;  301.3332;  597.8841;  905.8130;;  314.5019;  602.9193;  920.6517;;  292.2482;  626.5166;  936.1195;;  291.3664;  581.2666;  930.1320;;  295.6259;  581.2666;  890.8876;;  304.3040;  604.5257;  873.8364;;  278.0993;  588.7895;  872.8620
9;  292.1212;  599.6285;  913.9065;;  292.5003;  605.1908;  849.3071;;  280.8429;  566.9148;  904.8659;;  308.7687;  631.0572;  909.6409;;  297.6247;  631.0572;  838.8402;;  303.1308;  611.1884;  915.7716;;  296.1928;  590.6698;  913.6843
10;  302.0328;  631.3221;  936.0172;;  294.0565;  563.2877;  927.2518;;  301.0416;  592.9638;  861.9131;;  291.4992;  589.2174;  885.8047;;  289.7616;  589.2174;  906.9031;;  304.2963;  609.1987;  843.7846;;  294.6701;  590.3656;  874.6684
11;  311.4338;  620.5827;  893.7970;;  296.6686;  601.9576;  911.0733;;  293.1653;  591.6317;  871.8318;;  309.5828;  605.6349;  886.8771;;  290.9036;  605.6349;  885.9152;;  303.6198;  612.6154;  921.4257;;  314.3948;  589.2829;  865.8893
12;  299.5299;  581.3517;  901.6113;;  285.7644;  646.2441;  883.2282;;  303.6194;  627.9544;  936.6834;;  309.3271;  608.8702;  920.0162;;  296.1553;  608.8702;  910.1273;;  294.9317;  619.5528;  875.0689;;  316.4084;  602.8464;  954.2288
13;  300.0415;  564.6038;  894.7124;;  310.7246;  602.3667;  961.5860;;  291.3189;  610.8223;  882.9276;;  290.6712;  592.1547;  897.2656;;  310.7913;  592.1547;  839.6794;;  307.7159;  603.7290;  901.2724;;  297.7629;  617.1263;  991.6006
14;  293.3369;  605.2499;  940.7669;;  302.4775;  556.5831;  906.4734;;  279.2696;  605.9034;  902.6617;;  303.6291;  581.2008;  905.6058;;  307.1406;  581.2008;  863.8056;;  303.3498;  583.3486;  932.7347;;  296.9167;  589.8534;  932.8809
15;  278.4737;  584.4898;  927.4090;;  302.1197;  588.2803;  965.3043;;  289.3746;  606.3035;  888.3136;;  293.5188;  592.6326;  905.7961;;  294.7736;  592.6326;  905.9850;;  295.3134;  600.7018;  888.0493;;  313.3474;  627.3504;  872.5806
16;  281.2804;  559.2428;  872.7755;;  300.4134;  637.2557;  919.5209;;  304.6167;  604.1366;  902.5340;;  296.7206;  623.4184;  929.3844;;  302.0902;  623.4184;  904.5799;;  309.2903;  563.3029;  874.8570;;  292.0677;  578.3084;  863.2984
17;  311.9234;  568.1539;  876.6129;;  324.5531;  572.6372;  865.1496;;  282.7561;  636.1387;  863.3640;;  309.4459;  597.5965;  878.2135;;  303.7206;  597.5965;  888.2043;;  305.6500;  617.5588;  933.6521;;  290.5958;  580.4518;  863.0755
18;  281.6786;  577.8407;  960.0504;;  281.4344;  626.5174;  869.9390;;  305.0777;  635.7563;  908.4919;;  304.2912;  585.4648;  924.9684;;  319.7246;  585.4648;  909.3094;;  298.6936;  588.5304;  905.1326;;  304.4983;  605.8140;  939.4915
19;  323.7986;  605.2114;  882.9626;;  295.3334;  556.5946;  861.5495;;  318.4816;  604.6958;  889.2861;;  300.5342;  602.0692;  900.6914;;  294.9177;  602.0692;  905.0678;;  304.5506;  600.4196;  942.2991;;  295.7170;  596.7051;  894.5617
20;  284.6984;  608.9333;  894.3820;;  288.2275;  628.8889;  841.9106;;  296.9357;  593.3558;  944.4931;;  301.5935;  623.1091;  897.0783;;  303.2236;  623.1091;  877.2121;;  295.7591;  627.2646;  892.8262;;  296.3072;  593.1157;  950.0198
