;i=1;i=1;i=1;i=1;;i=2;i=2;i=2;i=2;;i=3;i=3;i=3;i=3;;i=4;i=4;i=4;i=4;;i=5;i=5;i=5;i=5;;i=6;i=6;i=6;i=6;;i=7;i=7;i=7;i=7
Palier -->;150;300;450;650;;150;300;450;650;;150;300;450;650;;150;300;450;650;;150;300;450;650;;150;300;450;650;;150;300;450;650
Scénario;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;150.4121;302.8166;456.4785;644.0524;;143.0593;301.8608;446.4563;657.3679;;150.1367;298.6829;447.5091;658.3019;;146.6584;298.6473;432.0536;644.2333;;150.6531;292.9926;451.5342;650.1450;;149.8623;301.4268;448.7792;642.9369;;151.4222;304.6571;451.7986;655.5232
2;  153.9740;  297.0729;  449.1278;  668.1421;;  149.4332;  296.5390;  440.6893;  648.3957;;  151.9432;  302.1629;  444.9267;  653.7437;;  148.1419;  290.0428;  443.4394;  633.2739;;  150.4290;  298.9300;  443.7544;  656.3485;;  150.2824;  302.4175;  456.2289;  655.5451;;  149.4910;  303.8931;  449.3841;  655.2852
3;  146.3016;  308.2315;  447.8965;  643.5812;;  146.1314;  305.3053;  447.1377;  625.5031;;  156.9546;  309.5504;  455.1125;  648.3831;;  153.0484;  287.3298;  452.9722;  658.0821;;  151.0747;  298.1041;  452.5983;  645.8936;;  151.0087;  299.5320;  446.2034;  658.0213;;  152.2876;  291.8874;  454.1750;  641.7822
4;  152.7976;  298.5899;  455.2972;  635.3904;;  154.2400;  291.4799;  461.2891;  665.5530;;  153.8327;  296.9683;  450.6957;  641.0677;;  152.6041;  295.4162;  453.9077;  638.3552;;  150.2581;  300.6227;  453.0047;  650.6145;;  149.1744;  304.2548;  458.6764;  649.1163;;  149.6506;  300.5941;  449.1686;  652.1674
5;  156.4044;  300.7587;  444.8312;  620.5319;;  151.4769;  301.5847;  451.5685;  639.9580;;  150.5620;  301.9262;  441.3254;  637.4716;;  144.7182;  304.1899;  459.2568;  659.1190;;  149.1973;  300.7326;  454.4717;  653.1058;;  152.8263;  301.1994;  445.5666;  645.2844;;  148.5154;  302.3028;  447.9562;  653.6702
6;  147.9500;  292.7774;  443.1951;  671.5179;;  146.8675;  307.1259;  444.6137;  663.6881;;  148.3999;  317.5801;  451.0467;  641.7288;;  147.1140;  305.7535;  445.6540;  662.9946;;  149.1097;  297.3645;  446.3953;  659.2540;;  151.3965;  299.8157;  448.2005;  646.5858;;  145.5349;  302.6007;  454.1263;  649.4737
7;  147.0264;  306.2863;  453.3805;  651.8161;;  150.7871;  297.5356;  442.0355;  651.0193;;  151.9053;  290.2153;  452.2910;  649.5900;;  150.6488;  300.7110;  450.9923;  647.5780;;  152.0890;  298.5698;  450.2170;  640.5758;;  149.6125;  297.4018;  445.5393;  640.3324;;  151.3913;  301.1227;  450.9549;  661.4233
8;  150.4082;  299.5556;  460.4960;  659.1215;;  147.1504;  301.5957;  443.6301;  644.0255;;  145.8970;  293.2654;  444.6068;  647.5822;;  147.4755;  301.2818;  471.8012;  645.7055;;  148.5050;  297.5562;  446.5422;  657.9867;;  152.0349;  295.6064;  445.4103;  653.8926;;  147.9736;  300.7200;  440.6670;  646.8880
9;  156.4598;  277.1142;  449.5555;  667.6092;;  153.5744;  293.0830;  458.4136;  635.4196;;  146.6658;  305.3140;  460.7212;  658.7138;;  150.1574;  306.0841;  454.7399;  642.1409;;  147.9840;  299.5391;  455.7987;  650.3057;;  150.7655;  299.5855;  446.0898;  653.2286;;  154.6130;  308.2942;  451.7613;  675.2581
