Sc‚nario;i=1;;i=2;;i=3;;i=4;;i=5;;i=6;;i=7;
1;0.8157;;0.7743;;0.7174;;0.7082;;0.7301;;0.7756;;0.8019;
2;    0.7561;;    0.7561;;    0.6812;;    0.6613;;    0.7366;;    0.7805;;    0.8001;
3;    0.8048;;    0.8008;;    0.7370;;    0.6763;;    0.7323;;    0.7680;;    0.7808;
4;    0.7674;;    0.8046;;    0.7610;;    0.6778;;    0.7392;;    0.7817;;    0.7680;
5;    0.7590;;    0.7881;;    0.6991;;    0.6967;;    0.7233;;    0.7857;;    0.7814;
6;    0.7896;;    0.7663;;    0.7168;;    0.6616;;    0.7264;;    0.7890;;    0.7863;
7;    0.7612;;    0.7715;;    0.7207;;    0.6949;;    0.7220;;    0.7716;;    0.7963;
8;    0.8012;;    0.7855;;    0.7440;;    0.6906;;    0.7398;;    0.7951;;    0.7769;
9;    0.7968;;    0.7928;;    0.7411;;    0.6887;;    0.7272;;    0.7796;;    0.7803;
10;    0.8088;;    0.7779;;    0.7370;;    0.6960;;    0.7268;;    0.7829;;    0.7870;
11;    0.7683;;    0.7836;;    0.7239;;    0.6581;;    0.7195;;    0.7708;;    0.8005;
12;    0.7728;;    0.7684;;    0.7434;;    0.7092;;    0.7246;;    0.7896;;    0.7966;
13;    0.7596;;    0.7549;;    0.7291;;    0.6904;;    0.7395;;    0.7790;;    0.7822;
14;    0.7733;;    0.7841;;    0.7310;;    0.6773;;    0.7347;;    0.7715;;    0.8034;
15;    0.7866;;    0.7787;;    0.7413;;    0.6757;;    0.7318;;    0.7876;;    0.7834;
16;    0.7841;;    0.7782;;    0.7362;;    0.7071;;    0.7299;;    0.7875;;    0.7605;
17;    0.7769;;    0.7884;;    0.7576;;    0.6654;;    0.7334;;    0.7776;;    0.7806;
18;    0.7673;;    0.7660;;    0.7542;;    0.6838;;    0.7444;;    0.7784;;    0.7847;
19;    0.7753;;    0.7691;;    0.7297;;    0.6736;;    0.7287;;    0.7834;;    0.7833;
20;    0.7887;;    0.7870;;    0.7256;;    0.6947;;    0.7210;;    0.8014;;    0.7558;
21;    0.7319;;    0.7800;;    0.7010;;    0.6684;;    0.7229;;    0.7841;;    0.7871;
22;    0.7995;;    0.8047;;    0.7659;;    0.6860;;    0.7326;;    0.7764;;    0.8061;
23;    0.7717;;    0.8002;;    0.7298;;    0.6720;;    0.7497;;    0.7850;;    0.7924;
24;    0.7954;;    0.7942;;    0.7209;;    0.7003;;    0.7348;;    0.7892;;    0.8182;
