;i=1;i=1;i=1;i=1;i=1;;i=2;i=2;i=2;i=2;i=2;;i=3;i=3;i=3;i=3;i=3;;i=4;i=4;i=4;i=4;i=4;;i=5;i=5;i=5;i=5;i=5;;i=6;i=6;i=6;i=6;i=6;;i=7;i=7;i=7;i=7;i=7
Palier -->;20;40;60;80;100;;20;40;60;80;100;;20;40;60;80;100;;20;40;60;80;100;;20;40;60;80;100;;20;40;60;80;100;;20;40;60;80;100
Scénario;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;20.5089;40.3194;60.7547;80.1370;100.9709;;20.6859;39.9589;59.2705;80.5951;102.7743;;19.1697;40.5072;59.0856;77.2571;100.3380;;20.1475;39.3882;60.9326;79.3402;98.1186;;19.8121;39.3039;60.4839;79.9533;101.9011;;19.3180;41.5165;58.8157;80.3109;100.3174;;18.9090;38.6057;60.0166;77.5035;103.0649
2;   20.6036;   39.8169;   60.0357;   82.6070;   99.9456;;   20.0894;   40.1299;   59.0532;   83.9926;  101.8215;;   20.3439;   40.0866;   58.3842;   81.3114;  100.6799;;   20.3803;   40.8234;   59.8252;   79.3511;  102.2014;;   20.2612;   40.1814;   61.3036;   80.7005;  100.5065;;   19.8421;   40.7086;   59.9914;   78.9218;   98.2729;;   20.1563;   38.9700;   58.7724;   78.9351;   96.8385
3;   20.2939;   40.5492;   61.1578;   81.0211;   97.1691;;   19.8124;   38.4129;   61.8167;   79.1449;  101.2434;;   20.0156;   38.8732;   59.9581;   78.3838;  100.2565;;   19.7362;   40.0953;   59.8911;   80.1400;   99.7554;;   20.0098;   39.8330;   59.6286;   79.8702;  100.2433;;   20.3672;   40.5975;   60.2055;   79.4517;   95.1085;;   20.3682;   41.5843;   60.3205;   78.7678;  102.2080
4;   20.0732;   39.2472;   60.3008;   79.7148;   98.9508;;   19.8702;   39.9456;   59.3048;   78.1070;   99.4598;;   19.8535;   39.3873;   59.6369;   77.4686;   99.0768;;   20.1618;   39.7016;   60.2848;   78.9995;  100.0360;;   20.1289;   40.1358;   59.0019;   80.6591;   99.9264;;   19.6815;   40.4524;   60.7229;   80.1520;  100.8979;;   19.4193;   39.4612;   59.6236;   84.4576;  105.8806
5;   20.1165;   39.4853;   58.6318;   80.4266;  102.6727;;   20.0774;   40.0428;   57.5125;   79.5558;  101.1377;;   20.0673;   40.5079;   59.9670;   83.9880;   99.0985;;   19.9557;   40.6077;   60.5994;   77.6386;  101.4971;;   20.1757;   40.3717;   59.9376;   79.9926;   99.7971;;   20.0936;   40.5101;   60.4733;   80.8244;  100.0217;;   19.6225;   42.6577;   59.5818;   77.9052;  102.8824
6;   18.7781;   40.1445;   60.6851;   79.2304;   99.4987;;   19.3351;   39.3467;   57.8191;   80.4372;  102.9747;;   20.2267;   40.2078;   60.5927;   81.5825;   98.8051;;   19.7863;   39.6427;   61.4380;   82.1943;  100.5497;;   19.9048;   39.8823;   59.9519;   79.7192;   99.2104;;   20.2187;   39.7445;   60.0125;   81.5572;   98.5988;;   20.4346;   41.5035;   60.4550;   76.7536;  100.0571
7;   19.9908;   40.1483;   61.8714;   79.8304;  100.6805;;   20.7677;   37.4757;   60.4792;   79.8340;  101.5841;;   19.6039;   39.4827;   59.1086;   81.4324;   97.8550;;   19.6929;   38.3023;   59.8688;   80.9109;  102.1608;;   19.9401;   39.3059;   59.4739;   80.2389;   99.5328;;   19.8115;   38.9330;   57.9852;   81.0811;   98.3741;;   18.5787;   39.3163;   55.9506;   79.3512;   99.7053
8;   19.5676;   40.0863;   60.5769;   80.1201;   97.8457;;   20.3831;   39.8498;   58.1435;   82.3084;  100.0687;;   20.3539;   41.1934;   60.5642;   80.8974;  101.2189;;   20.0651;   39.3512;   59.7806;   81.3213;   95.5074;;   20.1046;   40.3632;   60.2147;   80.6913;   99.5122;;   20.2518;   39.8526;   59.7419;   81.1355;  101.0276;;   19.4176;   38.0101;   58.7424;   79.4641;   99.7843
9;   20.6131;   41.1490;   60.8387;   81.5883;   97.4936;;   19.1983;   40.2865;   60.2671;   80.7422;   98.7338;;   19.8731;   39.7600;   59.6693;   77.9047;   99.8549;;   19.8905;   40.3158;   59.1956;   78.5981;   98.1801;;   19.6147;   39.5966;   59.7956;   79.4786;   98.1234;;   20.7209;   38.9368;   59.4095;   81.7930;  100.1010;;   20.0402;   40.4767;   59.3147;   83.6226;   99.1203
10;   20.1598;   40.3669;   61.0196;   78.3033;   98.3132;;   19.6442;   39.3248;   63.4350;   81.5290;   97.0675;;   20.0012;   39.5951;   61.1574;   82.9382;   99.6303;;   19.6212;   40.6404;   60.9601;   79.1695;  103.5575;;   20.1688;   40.3378;   60.4681;   79.8709;   99.2104;;   20.0400;   39.9480;   60.0244;   80.8644;  101.4577;;   18.7854;   39.2466;   59.5035;   80.8923;  102.0573
11;   20.4606;   40.5201;   58.9363;   81.5469;  102.5864;;   19.4616;   39.2756;   60.3096;   79.3929;   99.5240;;   19.9789;   40.3760;   59.6930;   78.9110;   96.1401;;   20.2439;   39.7469;   59.9084;   77.1606;  102.1332;;   20.0463;   40.3293;   59.8145;   80.0237;  100.0434;;   19.3650;   39.7872;   61.6701;   79.3692;   97.0368;;   20.4280;   38.7549;   58.7644;   77.8630;  100.6719
12;   19.7941;   39.9522;   60.7860;   80.8709;   98.1907;;   20.0896;   39.6714;   58.3876;   77.5955;   99.3864;;   19.9277;   39.4977;   62.8237;   79.5608;  101.0312;;   19.8478;   39.8725;   58.0611;   79.4679;  103.0621;;   20.1374;   39.6337;   60.0163;   79.1990;  100.7521;;   19.4784;   41.3248;   60.5455;   74.4255;   95.6091;;   19.1301;   40.4755;   60.1970;   81.1111;   97.0404
13;   19.7526;   40.0467;   57.7584;   77.7276;   98.6428;;   21.0283;   38.7144;   62.4873;   80.0498;   99.3205;;   19.9566;   40.6053;   58.7524;   79.0911;   98.8046;;   19.7203;   40.2074;   60.9351;   83.4293;   99.9667;;   19.9103;   39.9131;   59.4922;   80.5521;   99.6467;;   20.1276;   39.5285;   60.9009;   76.6035;   98.9495;;   20.3842;   40.5191;   61.9770;   78.6079;  104.2419
14;   19.4411;   41.3063;   59.5815;   80.7688;  100.6120;;   20.5191;   40.8981;   61.4849;   80.2932;  100.1746;;   19.8273;   40.0082;   60.6039;   79.8663;  103.8943;;   19.8116;   39.1257;   61.9473;   78.8616;   98.7164;;   19.8661;   40.1905;   60.1426;   79.4397;   98.4881;;   20.1702;   39.6271;   58.1586;   77.2915;   97.3614;;   19.4256;   38.3981;   55.5389;   79.4656;   97.8505
15;   19.9907;   40.5055;   61.0075;   79.9459;   98.7839;;   20.3054;   40.0795;   60.6253;   78.3845;  103.5851;;   19.8998;   40.3171;   60.4060;   78.5385;  102.9302;;   20.2971;   38.4496;   59.5358;   80.7838;   99.0722;;   19.8254;   39.9725;   61.1326;   79.5118;   99.5711;;   20.1565;   40.2003;   59.6533;   80.1516;   99.2880;;   21.4888;   39.7653;   59.3575;   80.7712;   99.8088
16;   19.7648;   41.0273;   60.0662;   80.2776;   97.8892;;   19.6892;   39.3539;   62.6583;   77.8738;  102.3113;;   19.6054;   39.2399;   61.7533;   80.7118;   97.3718;;   20.5400;   41.2227;   60.1360;   81.1703;   99.2687;;   20.4766;   39.6809;   59.7510;   77.9560;   97.7694;;   19.4693;   39.4954;   61.2165;   78.9896;   98.0641;;   19.6266;   38.3766;   57.4704;   82.0471;   98.0735
17;   19.9361;   39.6999;   57.5682;   81.7721;   96.8002;;   19.5588;   38.9580;   59.3702;   79.3425;   99.5705;;   20.1432;   39.5254;   60.3528;   79.7415;   93.8855;;   19.8248;   40.9141;   58.5656;   81.4321;   96.6721;;   20.0058;   39.6573;   59.7575;   80.5254;   99.8353;;   19.8404;   40.3643;   60.6447;   79.8562;  100.9583;;   21.5064;   40.8971;   60.3459;   80.9453;   98.1270
18;   20.2619;   40.3660;   60.3094;   83.2365;   97.9889;;   19.9067;   39.7357;   59.2397;   77.1388;  101.9674;;   19.4933;   40.8693;   60.6242;   81.2401;  100.5448;;   20.1606;   39.4647;   59.6001;   79.0628;   99.7487;;   19.9804;   41.1215;   59.8423;   80.0919;   98.1758;;   19.9394;   38.6014;   59.9991;   79.5491;  102.7717;;   20.7451;   39.6402;   60.2847;   82.9246;   97.0790
19;   19.7427;   40.5145;   59.7051;   81.4876;   94.0109;;   19.4789;   40.8758;   60.8581;   79.3705;  101.4318;;   19.7419;   40.7656;   57.8240;   79.6777;   99.3585;;   20.2509;   39.7113;   60.6689;   79.9787;  101.0059;;   20.2826;   39.8199;   59.5174;   79.3160;  101.5931;;   19.8669;   38.8288;   59.5206;   79.1612;  100.0259;;   19.7081;   40.5908;   58.9690;   76.1509;   94.5395
20;   19.7665;   40.4792;   59.9438;   81.1732;   95.8621;;   19.3265;   38.8936;   58.3629;   80.0358;   98.9555;;   20.0980;   39.9208;   59.7560;   80.4593;   97.7177;;   19.5983;   40.0575;   60.1940;   78.5063;   96.8428;;   20.1618;   40.4562;   60.4057;   79.6020;  100.1591;;   19.9467;   40.7790;   60.1348;   81.8453;   98.6484;;   19.4904;   40.3122;   60.6424;   77.7364;  101.0216
21;   20.5485;   42.1029;   58.4142;   79.3920;  102.0092;;   19.8284;   38.7627;   57.0916;   80.6752;   96.8096;;   19.7734;   39.7567;   59.0163;   79.2166;  102.3651;;   19.3056;   39.9814;   60.2346;   82.4723;   96.0431;;   19.8671;   39.9615;   58.7927;   79.5514;   99.8657;;   20.6065;   40.3250;   60.5460;   79.2215;   98.6531;;   19.4028;   38.3823;   61.9083;   82.8247;  100.0597
22;   20.6047;   38.9948;   61.2035;   78.5695;  103.0375;;   19.1461;   40.8440;   59.6326;   76.0575;   97.6386;;   20.2783;   38.9116;   59.1906;   80.6413;   99.9472;;   20.4429;   38.7557;   59.9497;   78.7784;   98.5564;;   19.7427;   40.2853;   60.0422;   80.9336;   99.6073;;   20.6905;   39.9145;   59.9259;   82.6202;   98.8543;;   19.0358;   41.6611;   58.3513;   78.5458;   99.2564
23;   19.5059;   40.2689;   58.1652;   81.3181;  101.9479;;   19.5118;   39.1956;   61.2304;   81.6142;  105.3590;;   20.1078;   39.0046;   61.3673;   80.4350;   97.1022;;   20.0178;   39.2357;   59.7689;   79.2101;  101.8646;;   20.0666;   40.7438;   59.7239;   79.0252;   98.9431;;   19.7137;   39.5762;   60.6308;   83.6020;  100.3325;;   20.9496;   40.9837;   59.5995;   83.8907;  100.5489
24;   19.6906;   38.4331;   60.5091;   79.7029;  100.7267;;   19.0139;   38.0167;   61.3754;   81.8910;   95.0689;;   19.6103;   39.4330;   61.8440;   80.3438;   98.4565;;   19.4593;   39.5112;   59.1033;   78.6348;   98.3255;;   19.7680;   40.2008;   60.1755;   80.3125;   99.6148;;   19.5114;   38.1779;   59.1135;   81.2859;  100.9084;;   19.7843;   41.7109;   61.7467;   77.8744;  103.7234
25;   20.1728;   39.5749;   59.0688;   80.7065;  101.6841;;   18.9009;   38.6126;   60.9989;   77.1577;  104.3903;;   19.8555;   40.2244;   59.6635;   79.1329;  101.4734;;   20.5770;   39.8258;   60.1059;   78.6119;   99.5584;;   20.4810;   39.6294;   59.5364;   78.9285;   97.7828;;   20.1411;   40.7903;   60.3972;   77.4133;   97.8418;;   19.2649;   39.6637;   63.4516;   80.5677;   98.6197
26;   20.2330;   40.8885;   61.3384;   79.3592;  101.1603;;   20.0253;   39.9205;   61.3592;   80.8869;  105.4729;;   19.9673;   40.9846;   60.1246;   80.6493;  101.1859;;   19.8544;   40.9148;   59.8546;   77.9168;  102.0212;;   20.1212;   40.7362;   59.9887;   80.3101;  100.9192;;   20.1712;   41.2934;   60.1751;   81.8698;   97.7687;;   18.9414;   38.8410;   61.0240;   79.9910;   99.3098
27;   19.9096;   39.0897;   59.5123;   80.2965;   99.3258;;   19.8090;   40.1804;   61.1363;   81.0494;  101.1890;;   19.9563;   39.8963;   60.2408;   80.9269;   97.2558;;   20.2485;   40.7760;   60.5564;   82.6046;   98.3765;;   19.6778;   39.5581;   60.1945;   78.8917;   99.3720;;   20.2172;   40.3575;   60.9875;   79.7701;   98.9120;;   20.6567;   41.5632;   62.0225;   78.5072;  102.4473
28;   19.9762;   39.0935;   59.8234;   82.0243;   98.3944;;   20.0616;   39.0861;   57.4655;   76.5989;  103.3592;;   19.9240;   39.7959;   57.8813;   80.6081;   98.4424;;   19.8534;   40.8130;   58.5255;   80.3542;   98.7236;;   19.7892;   39.9036;   59.6055;   79.7354;  101.3904;;   19.6509;   39.1090;   59.7563;   80.7593;   98.0695;;   18.4377;   38.5709;   60.2798;   79.3203;   97.4865
29;   19.8714;   39.4857;   59.1726;   82.6636;  100.6036;;   19.5877;   39.9029;   58.3451;   80.7828;  105.5323;;   19.6842;   40.1872;   59.8710;   78.7666;  102.4764;;   19.8193;   39.4923;   59.3329;   80.9679;  101.1295;;   19.8046;   39.5361;   60.9565;   81.5894;   99.8310;;   19.8843;   40.8251;   60.5789;   77.9631;  103.4206;;   19.8494;   40.8882;   59.2216;   80.7768;  103.0526
30;   19.7239;   39.6143;   58.9194;   80.1938;  103.9135;;   20.3990;   41.6149;   57.5229;   82.0350;   99.3378;;   19.8230;   40.6381;   59.6436;   77.0060;  100.4725;;   19.8814;   38.4789;   58.6142;   81.1327;   98.3834;;   19.8325;   39.9129;   59.3567;   81.0809;   99.6190;;   20.4233;   39.5521;   59.9987;   82.3143;  105.1578;;   19.7548;   38.7845;   56.0168;   79.3837;   94.7932
31;   20.0120;   40.2720;   61.8331;   78.8542;   97.9075;;   19.8316;   39.2549;   61.7913;   77.2052;   96.2183;;   20.0722;   39.6287;   58.0410;   83.4030;   97.1575;;   20.1263;   39.6906;   60.1006;   79.9289;   99.1050;;   20.2424;   39.2525;   60.1893;   78.1260;  100.4768;;   20.3825;   41.0689;   59.9704;   80.7575;  100.9441;;   20.0071;   40.5859;   58.2714;   75.7005;  100.7759
32;   20.4510;   39.6610;   62.0790;   80.4896;  100.3053;;   19.9723;   39.2560;   61.4281;   83.6477;  101.6584;;   19.9887;   38.6682;   58.7660;   79.9196;  101.8080;;   20.0578;   39.7329;   59.6345;   81.0571;  102.4089;;   19.9467;   40.3652;   59.7568;   78.8159;   99.9437;;   19.3872;   39.8700;   60.1038;   80.5095;   96.5165;;   19.2463;   40.3636;   60.8065;   83.0647;   98.7031
33;   19.6905;   40.0214;   61.2919;   80.3230;  101.2166;;   20.1401;   38.6732;   61.2709;   83.9788;  101.9793;;   19.7694;   39.9474;   61.5371;   79.3167;  102.2058;;   19.6854;   39.8559;   59.3958;   81.0095;  100.4510;;   19.9423;   39.7509;   59.4377;   80.0693;  100.5957;;   20.0213;   41.1177;   60.4761;   79.8629;   98.4259;;   21.1150;   39.4082;   60.9002;   79.3660;   95.6839
34;   19.7323;   40.9307;   59.8289;   81.6113;  101.6462;;   19.9591;   42.0876;   62.6766;   79.9982;   95.4865;;   20.2426;   40.5771;   61.9791;   79.1296;   98.3831;;   19.4440;   38.5562;   60.2000;   80.9541;   98.1815;;   19.9765;   39.5059;   58.4406;   80.3284;  100.7152;;   20.7301;   40.2839;   59.5252;   80.2749;  100.8285;;   19.5416;   37.4304;   60.2821;   80.4804;   95.3766
35;   19.9829;   40.3525;   61.3104;   79.4675;   97.7179;;   20.3645;   39.8756;   57.4625;   79.6562;  103.7998;;   20.3768;   38.9663;   62.0638;   80.7312;   97.2438;;   19.6153;   40.4901;   60.8586;   78.2526;   99.1172;;   20.2487;   39.4128;   59.3165;   78.3000;  100.1620;;   20.6126;   40.0458;   58.2572;   81.7732;   95.4752;;   19.9358;   39.7721;   61.4139;   82.1329;   99.1848
36;   19.5656;   40.5094;   59.5444;   81.5394;  101.3429;;   19.7618;   40.5601;   63.0413;   76.2329;  104.4164;;   19.4774;   41.0035;   60.5532;   77.9128;   98.3466;;   20.0733;   38.1341;   59.7376;   79.7062;  100.1966;;   19.9809;   40.6125;   59.8125;   80.5993;  100.4506;;   20.6980;   40.0499;   60.6055;   79.0305;   99.9051;;   19.5467;   41.6671;   57.7232;   76.6466;  100.2605
37;   19.5596;   39.4550;   58.3665;   81.0469;  100.5333;;   19.9435;   42.5772;   61.7367;   77.5964;   99.0705;;   19.6031;   40.7770;   62.1693;   81.6943;   96.8974;;   20.4150;   39.4737;   61.0814;   80.7108;   97.8150;;   20.0756;   40.2154;   58.8834;   80.4197;   99.8462;;   20.4141;   40.9506;   60.7817;   76.8524;   99.2271;;   19.8938;   41.1065;   63.1473;   77.1980;  101.7595
38;   19.4174;   39.0381;   60.0112;   79.7556;   99.5167;;   19.4009;   40.1997;   63.9243;   79.7843;   94.5580;;   20.5590;   39.4808;   59.6199;   81.6439;   98.6276;;   20.3226;   39.5780;   61.0635;   78.2600;  100.9300;;   19.9422;   39.5442;   60.4526;   79.2825;  100.3436;;   20.6718;   39.4809;   61.1065;   82.8414;   99.3387;;   20.4954;   39.6558;   62.2976;   83.7714;   97.7443
39;   21.2331;   39.1028;   59.4806;   78.6881;   99.8298;;   18.3936;   41.2776;   59.5965;   79.1765;   96.0501;;   19.8563;   39.8716;   59.4688;   80.3290;  100.0952;;   20.0106;   41.2808;   60.3132;   80.6551;  100.9095;;   19.9846;   40.3833;   59.9795;   79.5241;  100.1730;;   19.0084;   41.6659;   60.0269;   82.3820;   97.8482;;   19.5334;   39.9471;   60.8882;   76.5473;   98.1222
40;   19.6707;   38.7706;   59.7263;   82.6202;  105.3568;;   18.8447;   40.4979;   59.6088;   79.3712;  101.0776;;   19.8707;   39.8866;   60.1275;   80.3821;  100.9171;;   20.3507;   40.1129;   55.7144;   77.9496;  100.0825;;   19.6947;   39.3044;   61.3282;   81.3278;   99.6301;;   20.3327;   38.9962;   59.3972;   79.7822;  100.4061;;   19.3094;   39.9691;   59.5425;   79.9442;  103.1856
41;   19.7902;   40.8319;   61.0904;   80.2027;   96.9803;;   20.1105;   39.4485;   61.0178;   80.7220;   99.4611;;   19.8533;   39.7852;   58.7823;   80.7283;   95.4915;;   20.3859;   39.8284;   58.4667;   77.4729;   97.6053;;   19.8851;   39.7904;   59.3841;   79.7581;   99.2446;;   20.1007;   37.5409;   59.3640;   78.7736;  102.0951;;   20.6993;   39.1212;   58.2026;   83.9989;   96.6802
42;   20.1452;   40.1191;   60.4707;   82.7379;  101.8214;;   20.8867;   39.6590;   60.3539;   81.3068;   99.0781;;   20.4688;   41.1817;   60.7455;   79.2064;   99.4314;;   20.2638;   41.9007;   58.3169;   82.4649;   99.3308;;   20.3401;   39.2867;   60.3260;   79.2761;   99.3528;;   20.0550;   41.0596;   60.4730;   79.9552;  100.3244;;   19.6947;   38.9638;   60.5789;   77.1137;   98.3926
43;   19.3562;   39.3829;   60.5867;   76.8949;  100.0182;;   20.4175;   39.0517;   56.5576;   78.9143;  103.4699;;   19.9513;   37.7706;   58.9472;   78.4434;  102.9915;;   19.6175;   39.4491;   59.3794;   77.6495;  103.4321;;   20.1105;   39.7256;   59.5540;   80.0431;  101.5557;;   19.2971;   39.6023;   58.5933;   78.4105;  100.8688;;   20.3712;   38.5802;   61.7154;   83.1774;  102.9498
44;   19.4235;   39.6809;   57.3719;   81.8148;  103.6327;;   20.0312;   41.5200;   59.0529;   79.5314;  100.7685;;   19.8134;   42.0860;   60.0993;   80.1140;   98.7605;;   20.3914;   39.7670;   59.1429;   80.5753;   99.7419;;   20.2365;   39.8102;   60.5608;   81.5328;   98.3378;;   19.7459;   40.9750;   60.5297;   78.3008;   98.5416;;   20.2143;   39.3348;   60.9281;   81.4192;  104.8134
45;   19.9582;   40.2024;   60.7023;   79.6138;   96.8807;;   20.0953;   39.6060;   59.4958;   77.1486;  103.9045;;   20.0378;   40.2497;   59.5483;   80.3996;  102.4535;;   20.3623;   40.1668;   59.2548;   77.5340;   96.1467;;   19.9105;   40.2955;   60.0164;   80.1328;   99.3100;;   20.2284;   41.2529;   60.6476;   79.5811;  101.4410;;   20.3478;   38.9589;   61.9812;   79.2556;  100.2014
